;$I_{2928}$;$I_{3355}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 50}$;$\overline{I}_{3355 \pm 50}$;$\overline{I}_{3725 \pm 50}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_7_size_0.4;0.9753633263031936;0.2211851893991143;0.0405753669314158;0.4007326791179587;1.2371238826337236;0.8834694406816641;0.2266599369026908;0.03247047134048196;Train;$< 0.4$;$d \leq 2$;0
division_8_size_bulk;0.3945610738193382;1.0;0.0028012110502287;0.5038355085332599;1.3973622848695668;0.40074427916038524;0.9744179496658256;0.011827531123965061;Train;$> 0$;$d > 5$;2
division_8_size_70;0.5060607933578499;1.0;0.0008248483468586;0.5421567646765485;1.5068856417047085;0.49911315015801433;0.9767849537761845;0.011729855491651424;Train;$< 70$;$d > 5$;2
division_8_size_25;0.4135280314645398;1.0;0.0021344645923766;0.49733832695552965;1.4156624960569164;0.41415880760209733;0.9801373029833004;0.009095911697992334;Test;$< 25$;$d > 5$;2
division_8_size_5;0.9875071736621526;0.9999999999999998;0.0813817559651809;0.6804251607700692;2.068888929627333;0.9206756413071076;0.9735976813397872;0.07696755831342486;Train;$< 5$;$2 < d \leq 5$;1
division_8_size_3;1.0000000000000002;0.6258922973258889;0.0506115680617792;0.46000990491078647;1.6765038653876683;0.8620761816653307;0.6052631270187234;0.053409879098371534;Train;$< 3$;$2 < d \leq 5$;1
division_8_size_2.5;1.0;0.4772661974582827;0.0256000548624684;0.3876593038425959;1.5028662523207512;0.8399963624310195;0.461000436207693;0.03393860337793204;Test;$< 2.5$;$2 < d \leq 5$;1
division_8_size_2;1.0;0.4789896908804711;0.039066160919096;0.35231036351899536;1.5180558517995673;0.8180557192497966;0.45944837787735915;0.04560552284375684;Test;$< 2$;$d \leq 2$;0
division_8_size_0.4;1.0;0.2962527497241622;0.0642356804672742;0.3816921234533985;1.3604884301914364;0.8477805894802967;0.2920906948090201;0.03323815316494637;Test;$< 0.4$;$d \leq 2$;0
division_8_size_0.2;1.0;0.1736518060380397;0.0045632943763159;0.3060717608734305;1.1782151004143555;0.8263400532097714;0.17159606675217826;0.010468811251573007;Train;$< 0.2$;$d \leq 2$;0
division_9_size_bulk;0.5473081592090251;1.0000000000000002;0.0053917201645826;0.5455860963950422;1.5526998793736078;0.5359935320013118;0.990559453867644;0.0112434721592534;Test;$> 0$;$d > 5$;2
division_9_size_70;0.7052114358832511;1.0;0.0027650933025477;0.5961295129940349;1.7079765291857987;0.705127567172217;0.9878830987602815;0.005846809658257863;Train;$< 70$;$d > 5$;2
division_9_size_25;0.6261414479613429;1.0;0.0064765772215754;0.5576796791699903;1.632618025182918;0.6212702447427171;0.9855048168329775;0.00835515530374283;Train;$< 25$;$d > 5$;2
division_9_size_5;0.903970000890554;0.8508945538259557;0.0321289477980919;0.6218390784108254;1.7869935025146015;0.8810685336648156;0.8309554933180364;0.027724403503837407;Train;$< 5$;$2 < d \leq 5$;1
division_9_size_3;0.9157131561138158;0.8625616559528645;0.0125522877028269;0.5539470983457199;1.790827099769507;0.881324178386087;0.8069142301310477;0.01215577603877423;Train;$< 3$;$2 < d \leq 5$;1
division_9_size_2.5;0.9331053143004882;0.7224000298898154;0.0627127424547812;0.5594077908706308;1.7182180866450847;0.8996677827996294;0.6828557980792692;0.052233488814876466;Train;$< 2.5$;$2 < d \leq 5$;1
division_9_size_2;0.8513184728538575;0.8555126864901617;0.026748994085966;0.5248224710141016;1.733580153429985;0.8328948424640046;0.7911823707611769;0.01588734554363714;Test;$< 2$;$d \leq 2$;0
division_9_size_0.4;1.0;0.8308943059595392;0.0394345847760767;0.5157384439412858;1.870328890735616;0.9170063870723987;0.7882491190667834;0.03179674552641364;Train;$< 0.4$;$d \leq 2$;0
division_9_size_0.2;1.0;0.4662535784779377;0.0333089562284306;0.3045840873410683;1.4995625347063681;0.8366964454690251;0.4538724183035871;0.02506375449694228;Train;$< 0.2$;$d \leq 2$;0
